symbol,Name,FiscalYearEnd,TotalRevenue,MarketCapitalization,NetIncome,TotalDebt,ShareholdersEquity,Dividends,P/E Ratio,Debt/Equity Ratio
BCS,Barclays,2017,27162.75,45.79,-2477.073,449.2043732,85.08142,0.15,-0.01848552707166886,5.27970000030559
BCS,Barclays,2016,29072.54,46.21,2373.13,338.5427742,96.72098,0.25,0.019472173880065568,3.5002000000413562
BCS,Barclays,2015,38919.16,53.45,-495.396,369.0475741,100.7061,0.4,-0.10789348319324339,3.6646000003971952
BCS,Barclays,2014,41677.15,60.47,-197.7716,550.1797705,108.7054,0.43,-0.30575674161507516,5.061200000183984
BCS,Barclays,2013,43712.69,55.49,846.5568,662.5262419,100.0674,0.38,0.06554787581884643,6.620799999800134
BCS,Barclays,2012,46036.06,52.82,-1650.089,767.2096603,99.79314,0.35,-0.032010394590837224,7.687999999799586
BCS,Barclays,2011,48866.82,33.47,6338.98,795.4345023,104.6005,0.33,0.005280029279158477,7.6045000004780094
BCS,Barclays,2010,49030.07,47.13,7034.11,898.5221329,96.27573,0.26,0.0067002079865114425,9.33279999954298
BCS,Barclays,2009,45992.04,36.84,5497.87,779.7428246,91.5707,0.06175,0.006700776846305934,8.515199999563178
NVDA,NVIDIA,2023,26974.0,1000.35,4368.0,10.9532556,22.101,0.014,0.22901785714285716,0.49560000000000004
NVDA,NVIDIA,2022,26914.0,359.5,9752.0,10.9455156,26.612,0.016,0.0368642329778507,0.41130000000000005
NVDA,NVIDIA,2021,16675.0,735.86,4332.0,6.9632946,16.893,0.016,0.16986611265004617,0.4122
NVDA,NVIDIA,2020,10918.0,323.24,2796.0,1.9904724,12.204,0.016,0.11560801144492132,0.1631
NVDA,NVIDIA,2019,11716.0,144.0,4141.0,1.9879776,9.342,0.016,0.0347742091282299,0.2128
NVDA,NVIDIA,2018,9714.0,81.44,3047.0,1.9999867,7.471,0.016,0.02672792911060059,0.2677
NVDA,NVIDIA,2017,6910.0,117.26,1666.0,2.8101274,5.762,0.01525,0.07038415366146458,0.4877
NVDA,NVIDIA,2016,5010.0,57.53,614.0,1.5100751,4.469,0.01425,0.09369706840390879,0.3379
NVDA,NVIDIA,2015,4682.0,17.73,631.0,1.3978552,4.418,0.01213,0.02809825673534073,0.31639999999999996
NVDA,NVIDIA,2014,4130.0,10.9,440.0,1.373907503,4.456398,0.0099,0.024772727272727273,0.30829999991024143
NVDA,NVIDIA,2013,4280.159,9.11,562.536,0.018828042,4.827703,0.0085,0.01619451910633275,0.003900000062141354
NVDA,NVIDIA,2012,3997.93,7.66,581.09,0.021557765,4.145724,0.00775,0.013182123251131495,0.0052000000482424775
NVDA,NVIDIA,2011,3543.309,8.46,253.146,0.023542819,3.181462,0.001875,0.03341944964565903,0.00740000006286418
NVDA,NVIDIA,2010,3326.445,8.95,-67.987,0.024519288,2.66514,0.001501,-0.13164281406739523,0.0092
NVDA,NVIDIA,2009,3424.859,10.37,-30.041,0.025622776,2.394652,0.001292,-0.3451949003029193,0.010699999832961117
INTC,Intel,2022,63054.0,109.08,8014.0,42.0477306,103.286,1.46,0.01361118043424008,0.4071
INTC,Intel,2021,79024.0,209.45,19868.0,38.0991654,95.391,1.39,0.010542077712905173,0.3993999999999999
INTC,Intel,2020,77867.0,104.16,20899.0,36.4022696,81.038,1.32,0.004983970524905497,0.4492
INTC,Intel,2019,71965.0,260.35,21048.0,29.0019968,77.504,1.26,0.01236934625617636,0.3742
INTC,Intel,2018,70848.0,214.19,21053.0,26.3580205,74.563,1.2,0.01017384695767824,0.3535
INTC,Intel,2017,62761.0,216.03,9601.0,26.8138815,69.019,1.08,0.02250078116862827,0.38849999999999996
INTC,Intel,2016,59387.0,171.88,10316.0,25.2850868,66.226,1.04,0.016661496704148893,0.3818
INTC,Intel,2015,55355.0,162.57,11420.0,22.6686435,61.085,0.96,0.014235551663747811,0.37110000000000004
INTC,Intel,2014,55870.0,175.46,11704.0,13.653406,55.865,0.9,0.014991455912508545,0.2444
INTC,Intel,2013,52708.0,129.02,9620.0,13.4454848,58.256,0.9,0.013411642411642413,0.23079999999999998
INTC,Intel,2012,53341.0,102.61,11005.0,13.4459078,51.203,0.87,0.009323943661971831,0.2626
INTC,Intel,2011,53999.0,123.48,12942.0,7.3319867,45.911,0.78,0.009541029207232267,0.15969999999999998
INTC,Intel,2010,43623.0,117.31,11464.0,2.115604,49.43,0.63,0.010232903000697837,0.0428
INTC,Intel,2009,35127.0,112.65,4369.0,2.2228232,41.704,0.56,0.02578393224994278,0.0533
AMZN,Amazon,2022,513983.0,856.94,-2722.0,67.1505714,146.043,0.001,-0.3148199853049229,0.4598
AMZN,Amazon,2021,469822.0,1691.0,33364.0,48.745187,138.245,0.001,0.050683371298405465,0.3526
AMZN,Amazon,2020,386064.0,1634.16,21331.0,31.8134024,93.404,0.001,0.07660962917819136,0.3406
AMZN,Amazon,2019,280522.0,916.15,11588.0,23.415238,62.06,0.001,0.07906023472557819,0.37729999999999997
AMZN,Amazon,2018,232887.0,734.42,10073.0,23.4946855,43.549,0.001,0.07290975876104437,0.5395
